TransactionID,EmployeeID,Date,Type,Amount
1,1,2024-09-01,Salary,11109.01
2,1,2024-09-01,Revenue,4617.14
3,1,2024-09-01,Expense,522.53
4,1,2024-10-01,Salary,9524.87
5,1,2024-10-01,Revenue,5391.04
6,1,2024-10-01,Expense,491.61
7,1,2024-11-01,Salary,11133.01
8,1,2024-11-01,Revenue,2495.21
9,1,2024-11-01,Expense,653.58
10,1,2024-12-01,Salary,9492.01
11,1,2024-12-01,Revenue,5288.32
12,1,2024-12-01,Expense,812.66
13,1,2025-01-01,Salary,10364.02
14,1,2025-01-01,Revenue,3138.34
15,1,2025-01-01,Expense,446.95
16,1,2025-02-01,Salary,11080.59
17,1,2025-02-01,Revenue,5337.97
18,1,2025-02-01,Expense,226.41
19,1,2025-03-01,Salary,9349.77
20,1,2025-03-01,Revenue,5900.14
21,1,2025-03-01,Expense,652.88
22,1,2025-04-01,Salary,11015.59
23,1,2025-04-01,Revenue,2352.34
24,1,2025-04-01,Expense,599.46
25,1,2025-05-01,Salary,9172.31
26,1,2025-05-01,Revenue,5882.5
27,1,2025-05-01,Expense,864.92
28,1,2025-06-01,Salary,8801.55
29,1,2025-06-01,Revenue,3655.78
30,1,2025-06-01,Expense,983.53
31,1,2025-07-01,Salary,9033.38
32,1,2025-07-01,Revenue,2221.59
33,1,2025-07-01,Expense,890.38
34,1,2025-08-01,Salary,8055.39
35,1,2025-08-01,Revenue,4033.39
36,1,2025-08-01,Expense,145.17
37,2,2024-09-01,Salary,10913.87
38,2,2024-09-01,Revenue,5244.88
39,2,2024-09-01,Expense,952.66
40,2,2024-10-01,Salary,10718.93
41,2,2024-10-01,Revenue,2259.95
42,2,2024-10-01,Expense,102.91
43,2,2024-11-01,Salary,10585.31
44,2,2024-11-01,Revenue,3073.28
45,2,2024-11-01,Expense,354.36
46,2,2024-12-01,Salary,8818.28
47,2,2024-12-01,Revenue,4648.76
48,2,2024-12-01,Expense,282.57
49,2,2025-01-01,Salary,8584.88
50,2,2025-01-01,Revenue,2376.97
51,2,2025-01-01,Expense,251.58
52,2,2025-02-01,Salary,10318.83
53,2,2025-02-01,Revenue,4864.97
54,2,2025-02-01,Expense,284.46
55,2,2025-03-01,Salary,10103.72
56,2,2025-03-01,Revenue,5788.59
57,2,2025-03-01,Expense,943.88
58,2,2025-04-01,Salary,8123.65
59,2,2025-04-01,Revenue,5773.41
60,2,2025-04-01,Expense,787.37
61,2,2025-05-01,Salary,10021.33
62,2,2025-05-01,Revenue,5911.17
63,2,2025-05-01,Expense,925.12
64,2,2025-06-01,Salary,11740.64
65,2,2025-06-01,Revenue,3285.06
66,2,2025-06-01,Expense,866.49
67,2,2025-07-01,Salary,10068.37
68,2,2025-07-01,Revenue,5453.01
69,2,2025-07-01,Expense,899.27
70,2,2025-08-01,Salary,11144.21
71,2,2025-08-01,Revenue,2415.44
72,2,2025-08-01,Expense,707.22
73,3,2024-09-01,Salary,9813.48
74,3,2024-09-01,Revenue,5735.37
75,3,2024-09-01,Expense,567.65
76,3,2024-10-01,Salary,11916.86
77,3,2024-10-01,Revenue,2699.9
78,3,2024-10-01,Expense,375.17
79,3,2024-11-01,Salary,10194.81
80,3,2024-11-01,Revenue,4629.53
81,3,2024-11-01,Expense,352.58
82,3,2024-12-01,Salary,11563.43
83,3,2024-12-01,Revenue,4262.61
84,3,2024-12-01,Expense,504.95
85,3,2025-01-01,Salary,8417.99
86,3,2025-01-01,Revenue,5680.42
87,3,2025-01-01,Expense,369.1
88,3,2025-02-01,Salary,10059.96
89,3,2025-02-01,Revenue,3575.44
90,3,2025-02-01,Expense,468.02
91,3,2025-03-01,Salary,11077.07
92,3,2025-03-01,Revenue,3588.48
93,3,2025-03-01,Expense,265.31
94,3,2025-04-01,Salary,11457.1
95,3,2025-04-01,Revenue,4442.87
96,3,2025-04-01,Expense,362.56
97,3,2025-05-01,Salary,9505.51
98,3,2025-05-01,Revenue,3862.7
99,3,2025-05-01,Expense,626.21
100,3,2025-06-01,Salary,9730.05
101,3,2025-06-01,Revenue,5832.77
102,3,2025-06-01,Expense,166.9
103,3,2025-07-01,Salary,10177.8
104,3,2025-07-01,Revenue,5066.27
105,3,2025-07-01,Expense,255.42
106,3,2025-08-01,Salary,8438.11
107,3,2025-08-01,Revenue,5707.27
108,3,2025-08-01,Expense,999.8
109,4,2024-09-01,Salary,11469.12
110,4,2024-09-01,Revenue,2172.95
111,4,2024-09-01,Expense,663.12
112,4,2024-10-01,Salary,11298.76
113,4,2024-10-01,Revenue,3519.24
114,4,2024-10-01,Expense,753.3
115,4,2024-11-01,Salary,10247.72
116,4,2024-11-01,Revenue,3532.65
117,4,2024-11-01,Expense,769.46
118,4,2024-12-01,Salary,9814.11
119,4,2024-12-01,Revenue,3881.23
120,4,2024-12-01,Expense,571.17
121,4,2025-01-01,Salary,8989.62
122,4,2025-01-01,Revenue,5687.1
123,4,2025-01-01,Expense,912.88
124,4,2025-02-01,Salary,9750.57
125,4,2025-02-01,Revenue,4887.07
126,4,2025-02-01,Expense,642.61
127,4,2025-03-01,Salary,8984.49
